loc,lat,lon,country,n,d
Comapa,19.1667,-96.8666,Mexico,2,NA
Compostela,7.6667,126.0833,Philippines,2,NA
Compostela,21.2389,-104.9,Mexico,2,NA
Concepcion,-36.8282,-73.0514,Chile,5,NA
Concepcion,15.3249,120.6554,Philippines,5,NA
Concepcion,-23.4,-57.43,Paraguay,5,NA
Concepcion,-27.3333,-65.5833,Argentina,5,NA
Concepcion,-11.9185,-75.3129,Peru,5,NA
Concordia,-31.4,-58.0333,Argentina,3,NA
Concordia,-27.2339,-52.0278,Brazil,3,NA
Concordia,6.049,-75.909,Colombia,3,NA
Cordoba,-31.4167,-64.1833,Argentina,4,NA
Cordoba,37.8845,-4.7796,Spain,4,NA
Cordoba,18.8942,-96.9347,Mexico,4,NA
Cordoba,0.855,-77.5211,Colombia,4,NA
Corinto,3.1739,-76.2594,Colombia,4,NA
Corinto,-18.3808,-44.4558,Brazil,4,NA
Corinto,12.4819,-87.1742,Nicaragua,4,NA
Corinto,13.8167,-87.9667,El Salvador,4,NA
Cornwall,45.0275,-74.74,Canada,2,1
Cornwall,41.4195,-74.054,United States,2,1
Corozal,18.4,-88.4,Belize,3,NA
Corozal,9.3333,-75.25,Colombia,3,NA
Corozal,18.341,-66.3124,Puerto Rico,3,NA
Cortes,9.7167,123.8833,Philippines,2,NA
Cortes,-8.47,-35.5436,Brazil,2,NA
Costesti,46.8678,28.7689,Moldova,2,NA
Costesti,44.6697,24.88,Romania,2,NA
Coventry,52.4081,-1.5106,United Kingdom,2,1
Coventry,41.6934,-71.6611,United States,2,1
Croydon,51.3727,-0.1099,United Kingdom,2,1
Croydon,40.0911,-74.8975,United States,2,1
Cuenca,-2.8974,-79.0045,Ecuador,3,NA
Cuenca,40.0667,-2.15,Spain,3,NA
Cuenca,13.9167,121.05,Philippines,3,NA
Dacun,34.7201,109.0549,China,2,NA
Dacun,23.9911,120.5394,Taiwan,2,NA
Dala,-11.0342,20.2036,Angola,2,NA
Dala,30.7773,75.2494,India,2,NA
Dali,25.6808,100.3003,China,2,NA
Dali,35.0211,33.42,Cyprus,2,NA
Damascus,33.5131,36.2919,Syria,2,1
Damascus,39.2701,-77.1957,United States,2,1
Damme,52.5208,8.1986,Germany,2,NA
Damme,51.25,3.2833,Belgium,2,NA
Dara,15.35,-15.6,Senegal,2,NA
Dara,26.1546,86.4483,India,2,NA
Darien,41.7448,-87.9822,United States,2,1
Darien,3.9167,-76.6667,Colombia,2,1
Dehqonobod,37.6333,69.45,Tajikistan,2,NA
Dehqonobod,40.5314,69.0342,Uzbekistan,2,NA
Delhi,28.61,77.23,India,2,1
Delhi,37.4306,-120.7759,United States,2,1
Delta,49.0847,-123.0586,Canada,2,1
Delta,38.756,-108.0772,United States,2,1
Denton,33.2175,-97.1418,United States,2,1
Denton,53.4554,-2.1122,United Kingdom,2,1
Derby,52.9217,-1.4767,United Kingdom,2,1
Derby,39.84,-104.9172,United States,2,1
Derry,54.9917,-7.3417,United Kingdom,2,1
Derry,42.8888,-71.2804,United States,2,1
Deurne,51.2247,4.4625,Belgium,2,NA
Deurne,51.4667,5.8,Netherlands,2,NA
Dhaka,23.7639,90.3889,Bangladesh,2,NA
Dhaka,26.72,85.33,India,2,NA
Dieppe,46.0989,-64.7242,Canada,2,NA
Dieppe,49.92,1.08,France,2,NA
Dimitrovgrad,54.1833,49.5833,Russia,3,NA
Dimitrovgrad,43.0167,22.7833,Serbia,3,NA
Dimitrovgrad,42.05,25.6,Bulgaria,3,NA
Dingle,53.3774,-2.9613,United Kingdom,2,NA
Dingle,11.05,122.6667,Philippines,2,NA
Dolores,-33.5333,-58.2167,Uruguay,4,NA
Dolores,12.0378,125.4828,Philippines,4,NA
Dolores,16.5142,-89.4158,Guatemala,4,NA
Dolores,-36.3167,-57.6667,Argentina,4,NA
Don Bosco,14.4817,121.0258,Philippines,2,NA
Don Bosco,-34.7,-58.2833,Argentina,2,NA
Dondo,-19.6167,34.75,Mozambique,2,NA
Dondo,-9.6942,14.4228,Angola,2,NA
Donetsk,48.0028,37.8053,Ukraine,2,NA
Donetsk,48.3333,39.9333,Russia,2,NA
Dongshan,24.6319,121.7539,Taiwan,2,NA
Dongshan,22.0635,112.8322,China,2,NA
Douglas,54.145,-4.482,Isle Of Man,3,1
Douglas,51.8764,-8.4358,Ireland,3,1
Douglas,31.3602,-109.5394,United States,3,1
Dover,39.161,-75.5202,United States,2,1
Dover,51.1295,1.3089,United Kingdom,2,1
Dublin,53.35,-6.2603,Ireland,2,1
Dublin,37.7161,-121.8963,United States,2,1
Dudley,52.508,-2.089,United Kingdom,2,1
Dudley,42.055,-71.9352,United States,2,1
Dumont,40.9452,-73.9923,United States,2,1
Dumont,-21.2364,-47.9733,Brazil,2,1
Duncan,48.7787,-123.7079,Canada,2,1
Duncan,34.5408,-97.9215,United States,2,1
Dundee,56.462,-2.9707,United Kingdom,2,NA
Dundee,-28.1725,30.2314,South Africa,2,NA
Dunedin,-45.8742,170.5036,New Zealand,2,1
Dunedin,28.0329,-82.7862,United States,2,1
Durango,24.025,-104.6675,Mexico,3,1
Durango,43.1689,-2.63,Spain,3,1
Durango,37.2659,-107.8781,United States,3,1
Durham,35.9792,-78.9022,United States,2,1
Durham,54.7761,-1.5733,United Kingdom,2,1
Ede,7.7389,4.4361,Nigeria,2,NA
Ede,52.05,5.6667,Netherlands,2,NA
Edmonton,53.5344,-113.4903,Canada,2,NA
Edmonton,51.6154,-0.0708,United Kingdom,2,NA
El Bosque,-33.5667,-70.675,Chile,2,NA
El Bosque,17.0333,-92.75,Mexico,2,NA
El Carmen,13.7167,-88.9,El Salvador,2,NA
El Carmen,8.5128,-73.4508,Colombia,2,NA
El Cerrito,37.9196,-122.3025,United States,2,1
El Cerrito,3.6667,-76.1667,Colombia,2,1
El Dorado,24.3228,-107.363,Mexico,3,1
El Dorado,33.2184,-92.664,United States,3,1
El Dorado,6.7167,-61.6167,Venezuela,3,1
El Monte,34.0739,-118.0291,United States,2,1
El Monte,-33.6833,-71.0167,Chile,2,1
El Palmar,14.65,-91.5833,Guatemala,2,NA
El Palmar,8.0244,-61.8819,Venezuela,2,NA
El Paraiso,15.0167,-88.9833,Honduras,2,NA
El Paraiso,14.0833,-89.0833,El Salvador,2,NA
El Paso,31.8476,-106.43,United States,2,1
El Paso,9.6622,-73.7519,Colombia,2,1
El Progreso,15.4,-87.8,Honduras,2,NA
El Progreso,14.35,-89.85,Guatemala,2,NA
El Rosario,22.9922,-105.8572,Mexico,2,NA
El Rosario,13.5,-89.0333,El Salvador,2,NA
Eldorado,-26.4,-54.6333,Argentina,2,NA
Eldorado,-24.52,-48.1081,Brazil,2,NA
Elgin,42.0383,-88.324,United States,2,1
Elgin,57.65,-3.315,United Kingdom,2,1
Emmen,52.7833,6.9,Netherlands,2,NA
Emmen,47.0833,8.3,Switzerland,2,NA
Enfield,51.6522,-0.0808,United Kingdom,2,1
Enfield,41.9839,-72.5548,United States,2,1
Ennis,52.8463,-8.9807,Ireland,2,1
Ennis,32.3254,-96.6347,United States,2,1
Ensenada,31.8578,-116.6058,Mexico,2,NA
Ensenada,-34.8644,-57.9103,Argentina,2,NA
Entre Rios,-11.9419,-38.0839,Brazil,2,NA
Entre Rios,-21.5264,-64.1733,Bolivia,2,NA
Epe,6.5573,3.9912,Nigeria,2,NA
Epe,52.35,5.9833,Netherlands,2,NA
Escuintla,14.2978,-90.7869,Guatemala,2,NA
Escuintla,15.3193,-92.6586,Mexico,2,NA
Esmeraldas,0.9667,-79.6528,Ecuador,2,NA
Esmeraldas,-19.7628,-44.3139,Brazil,2,NA
Esperanza,27.58,-109.9298,Mexico,5,NA
Esperanza,6.7167,124.5167,Philippines,5,NA
Esperanza,19.58,-70.99,Dominican Republic,5,NA
Esperanza,-31.4167,-60.9333,Argentina,5,NA
Esperanza,22.4472,-80.0966,Cuba,5,NA
Esquipulas,14.6167,-89.2,Guatemala,2,NA
Esquipulas,12.6639,-85.7881,Nicaragua,2,NA
Essen,51.4508,7.0131,Germany,2,NA
Essen,51.4667,4.4667,Belgium,2,NA
Essex,39.3021,-76.4449,United States,2,1
Essex,42.0833,-82.9,Canada,2,1
Estancia,-11.2678,-37.4378,Brazil,2,NA
Estancia,11.45,123.15,Philippines,2,NA
Evesham,39.8605,-74.8947,United States,2,1
Evesham,52.092,-1.947,United Kingdom,2,1
Exeter,50.7256,-3.5269,United Kingdom,2,1
Exeter,40.3139,-75.834,United States,2,1
Exmouth,50.62,-3.413,United Kingdom,2,NA
Exmouth,-21.9331,114.1281,Australia,2,NA
Falmouth,50.15,-5.07,United Kingdom,3,1
Falmouth,18.49,-77.661,Jamaica,3,1
Falmouth,41.5913,-70.5912,United States,3,1
Fatima,-10.6,-38.2169,Brazil,2,NA
Fatima,39.6255,-8.6659,Portugal,2,NA
Fenton,52.9977,-2.1578,United Kingdom,2,1
Fenton,42.7994,-83.7144,United States,2,1
Filadelfia,-22.34,-60.03,Paraguay,3,NA
Filadelfia,-10.7408,-40.1328,Brazil,3,NA
Filadelfia,5.3,-75.6,Colombia,3,NA
Flint,43.0236,-83.6921,United States,2,1
Flint,53.2482,-3.1358,United Kingdom,2,1
Florence,43.7714,11.2542,Italy,2,1
Florence,34.178,-79.7898,United States,2,1
Florencia,1.6139,-75.6128,Colombia,3,NA
Florencia,22.1475,-78.9669,Cuba,3,NA
Florencia,10.3665,-84.4814,Costa Rica,3,NA
Flores,16.9333,-89.8833,Guatemala,2,NA
Flores,-7.8658,-37.975,Brazil,2,NA
Floresti,47.8933,28.3014,Moldova,2,NA
Floresti,46.7475,23.4908,Romania,2,NA
Florida,-34.5167,-58.5,Argentina,6,NA
Florida,-34.1,-56.2167,Uruguay,6,NA
Florida,21.5294,-78.2228,Cuba,6,NA
Florida,18.3643,-66.5611,Puerto Rico,6,NA
Florida,3.3275,-76.2386,Colombia,6,NA
Florida,-36.8167,-72.6667,Chile,6,NA
Floridablanca,7.2167,-73.0667,Colombia,2,NA
Floridablanca,14.9333,120.5,Philippines,2,NA
Foca,38.6667,26.7667,Turkey,2,NA
Foca,43.5,18.7833,Bosnia and Herzegovina,2,NA
Fontana,34.0968,-117.4599,United States,2,1
Fontana,36.0364,14.2422,Malta,2,1
Forest,50.8131,4.3247,Belgium,2,1
Forest,37.3728,-79.2831,United States,2,1
Formosa,-26.1833,-58.1833,Argentina,2,NA
Formosa,-15.5369,-47.3339,Brazil,2,NA
Fortuna,10.4483,-84.6421,Costa Rica,4,1
Fortuna,-5.7328,-44.1578,Brazil,4,1
Fortuna,40.5862,-124.1419,United States,4,1
Fortuna,38.1789,-1.1233,Spain,4,1
Frankfort,38.1924,-84.8643,United States,2,1
Frankfort,-27.2833,28.5167,South Africa,2,1
Fredonia,5.9167,-75.6667,Colombia,2,1
Fredonia,42.4407,-79.3319,United States,2,1
Freeport,40.6515,-73.585,United States,2,1
Freeport,10.45,-61.4167,Trinidad and Tobago,2,1
Freetown,8.4844,-13.2344,Sierra Leone,2,1
Freetown,41.7714,-71.0157,United States,2,1
Fresno,36.783,-119.7939,United States,2,1
Fresno,5.1556,-75.0403,Colombia,2,1
Frontera,26.926,-101.449,Mexico,2,NA
Frontera,-31.4278,-62.0619,Argentina,2,NA
Fundao,40.1333,-7.5,Portugal,2,NA
Fundao,-19.9328,-40.4069,Brazil,2,NA
Fyzabad,26.773,82.146,India,2,NA
Fyzabad,10.1833,-61.55,Trinidad and Tobago,2,NA
Gallipoli,40.4139,26.6703,Turkey,2,NA
Gallipoli,40.0556,17.9917,Italy,2,NA
Gaya,24.75,85.01,India,2,NA
Gaya,11.8878,3.4467,Niger,2,NA
Geneva,46.2017,6.1469,Switzerland,2,1
Geneva,41.8833,-88.3242,United States,2,1
George Town,19.2866,-81.3744,Cayman Islands,2,NA
George Town,5.4144,100.3292,Malaysia,2,NA
Georgetown,6.8058,-58.1508,Guyana,4,1
Georgetown,-7.9286,-14.4119,"Saint Helena, Ascension, and Tristan da Cunha",4,1
Georgetown,30.666,-97.6966,United States,4,1
Georgetown,-18.3,143.55,Australia,4,1
Getafe,40.3047,-3.7311,Spain,2,NA
Getafe,10.15,124.15,Philippines,2,NA
Gisborne,-38.6625,178.0178,New Zealand,2,NA
Gisborne,-37.49,144.5889,Australia,2,NA
Gladstone,-23.8427,151.2555,Australia,2,1
Gladstone,39.2134,-94.5592,United States,2,1
Glasgow,55.8611,-4.25,United Kingdom,2,1
Glasgow,39.6015,-75.7473,United States,2,1
Glastonbury,51.1485,-2.714,United Kingdom,2,1
Glastonbury,41.6921,-72.5472,United States,2,1
Glencoe,-28.1833,30.15,South Africa,3,1
Glencoe,-46.1833,168.6833,New Zealand,3,1
Glencoe,42.1347,-87.7641,United States,3,1
Gloria,12.9722,121.4778,Philippines,2,NA
Gloria,-9.3389,-38.2569,Brazil,2,NA
Gloucester,51.8644,-2.2444,United Kingdom,2,1
Gloucester,39.7924,-75.0363,United States,2,1
Gombe,10.2904,11.17,Nigeria,2,NA
Gombe,0.1811,32.1142,Uganda,2,NA
Gondomar,41.15,-8.5333,Portugal,2,NA
Gondomar,42.1111,-8.7611,Spain,2,NA
Gonzaga,18.2614,121.9969,Philippines,2,NA
Gonzaga,44.95,10.8167,Italy,2,NA
Gonzalez,22.8281,-98.4306,Mexico,3,1
Gonzalez,30.5822,-87.2906,United States,3,1
Gonzalez,8.4,-73.3333,Colombia,3,1
Gopalpur,24.5583,89.9167,Bangladesh,2,NA
Gopalpur,26.1317,84.3594,India,2,NA
Grafton,42.2085,-71.6838,United States,2,1
Grafton,-29.6833,152.9333,Australia,2,1
Granada,37.1781,-3.6008,Spain,3,NA
Granada,11.9347,-85.9589,Nicaragua,3,NA
Granada,6.147,-75.188,Colombia,3,NA
Granby,45.4,-72.7333,Canada,2,1
Granby,41.9694,-72.8346,United States,2,1
Greenville,34.8354,-82.3646,United States,2,1
Greenville,5.0167,-9.0333,Liberia,2,1
Griffith,-34.29,146.04,Australia,2,1
Griffith,41.5277,-87.4239,United States,2,1
Grimsby,53.5675,-0.08,United Kingdom,2,NA
Grimsby,43.2,-79.55,Canada,2,NA
Groningen,53.2167,6.5667,Netherlands,2,NA
Groningen,5.8,-55.4667,Suriname,2,NA
Guadalajara,20.6767,-103.3475,Mexico,2,NA
Guadalajara,40.6337,-3.1674,Spain,2,NA
Guadalupe,25.6775,-100.2597,Mexico,5,NA
Guadalupe,9.9494,-84.0512,Costa Rica,5,NA
Guadalupe,0.38,6.6381,Sao Tome and Principe,5,NA
Guadalupe,2.025,-75.7572,Colombia,5,NA
Guadalupe,-6.7869,-43.5689,Brazil,5,NA
Guaranda,-1.6,-79,Ecuador,2,NA
Guaranda,8.4672,-74.5367,Colombia,2,NA
Guimaraes,41.45,-8.3,Portugal,2,NA
Guimaraes,-2.1328,-44.6008,Brazil,2,NA
Haaren,51.6,5.2333,Netherlands,2,NA
Haaren,50.7956,6.1269,Germany,2,NA
Halifax,44.6475,-63.5906,Canada,2,NA
Halifax,53.725,-1.863,United Kingdom,2,NA
Halle,51.4828,11.9697,Germany,2,NA
Halle,50.7361,4.2372,Belgium,2,NA
Hamburg,53.55,10,Germany,2,1
Hamburg,42.7394,-78.8581,United States,2,1
Hamilton,32.2942,-64.7839,Bermuda,6,1
Hamilton,43.2567,-79.8692,Canada,6,1
Hamilton,-37.7833,175.2833,New Zealand,6,1
Hamilton,55.777,-4.039,United Kingdom,6,1
Hamilton,40.2046,-74.6765,United States,6,1
Hamilton,-37.7333,142.0167,Australia,6,1
Hampton,37.0551,-76.363,United States,2,1
Hampton,51.422,-0.367,United Kingdom,2,1
Hangu,39.232,117.777,China,2,NA
Hangu,33.5333,71.0667,Pakistan,2,NA
Hanover,39.8118,-76.9836,United States,2,1
Hanover,49.4433,-96.8492,Canada,2,1
Haren,52.7667,7.2167,Germany,2,NA
Haren,53.1667,6.6,Netherlands,2,NA
Haripur,33.9942,72.9333,Pakistan,2,NA
Haripur,26.258,87.242,India,2,NA
Harlingen,26.1916,-97.6977,United States,2,1
Harlingen,53.1736,5.4272,Netherlands,2,1
Harwich,51.934,1.266,United Kingdom,2,1
Harwich,41.6957,-70.0684,United States,2,1
Hastings,50.85,0.57,United Kingdom,2,1
Hastings,40.5961,-98.39,United States,2,1
Hatfield,51.7636,-0.2258,United Kingdom,2,1
Hatfield,40.2758,-75.2895,United States,2,1
Haverhill,52.08,0.44,United Kingdom,2,1
Haverhill,42.7838,-71.0871,United States,2,1
Hebron,31.5333,35.095,West Bank,2,1
Hebron,41.6593,-72.3905,United States,2,1
Henderson,36.0133,-115.0381,United States,2,1
Henderson,-36.2833,-61.7167,Argentina,2,1
Hereford,52.056,-2.716,United Kingdom,2,1
Hereford,34.8225,-102.4001,United States,2,1
Hernando,34.85,-89.9921,United States,2,1
Hernando,-32.4167,-63.7333,Argentina,2,1
Hernani,43.2667,-1.9667,Spain,2,NA
Hernani,11.3239,125.6181,Philippines,2,NA
Heusden,51.6998,5.166,Netherlands,2,NA
Heusden,51.0281,3.8,Belgium,2,NA
Hobart,-42.8806,147.325,Australia,2,1
Hobart,41.514,-87.2729,United States,2,1
Hoboken,40.7452,-74.0281,United States,2,1
Hoboken,51.1667,4.3667,Belgium,2,1
Horsham,51.062,-0.325,United Kingdom,3,1
Horsham,40.1993,-75.1665,United States,3,1
Horsham,-36.7167,142.2,Australia,3,1
Huntington,40.8521,-73.3823,United States,2,1
Huntington,53.9926,-1.043,United Kingdom,2,1
Huntsville,34.6981,-86.6412,United States,2,1
Huntsville,45.3333,-79.2167,Canada,2,1
Ilam,33.6374,46.4227,Iran,2,NA
Ilam,26.908,87.926,Nepal,2,NA
Ina,35.8275,137.954,Japan,2,NA
Ina,9.9833,2.7167,Benin,2,NA
Inverness,57.4778,-4.2247,United Kingdom,2,NA
Inverness,46.2,-61.1,Canada,2,NA
Inza,2.55,-76.0667,Colombia,2,NA
Inza,53.85,46.35,Russia,2,NA
Ipswich,52.0594,1.1556,United Kingdom,3,1
Ipswich,-27.6167,152.7667,Australia,3,1
Ipswich,42.6857,-70.8399,United States,3,1
Irvine,33.6772,-117.7738,United States,2,1
Irvine,55.6201,-4.6614,United Kingdom,2,1
Isabela,10.2,122.9833,Philippines,2,NA
Isabela,18.4991,-67.022,Puerto Rico,2,NA
Islamabad,33.6931,73.0639,Pakistan,2,NA
Islamabad,33.73,75.15,India,2,NA
Jaen,37.7667,-3.7711,Spain,3,NA
Jaen,-5.7083,-78.8083,Peru,3,NA
Jaen,15.3392,120.9069,Philippines,3,NA
Jagatpur,26.3738,86.0509,India,2,NA
Jagatpur,23.6048,90.7628,Bangladesh,2,NA
Jalalabad,34.4342,70.4478,Afghanistan,2,NA
Jalalabad,35.88,74.493,Pakistan,2,NA
Jalapa,14.6379,-89.9904,Guatemala,3,NA
Jalapa,13.9222,-86.1253,Nicaragua,3,NA
Jalapa,17.7,-92.8,Mexico,3,NA
Jamalpur,24.9004,89.95,Bangladesh,2,NA
Jamalpur,25.3,86.5,India,2,NA
Jamestown,-15.9251,-5.7179,"Saint Helena, Ascension, and Tristan da Cunha",2,1
Jamestown,42.0976,-79.2367,United States,2,1
Jericho,31.8711,35.4442,West Bank,2,1
Jericho,40.7875,-73.5416,United States,2,1
Jesenice,46.4366,14.0602,Slovenia,2,NA
Jesenice,49.9683,14.5136,Czechia,2,NA
Jesus Maria,21.9667,-102.35,Mexico,2,NA
Jesus Maria,-30.9833,-64.1,Argentina,2,NA
Ji'an,27.1172,114.9793,China,2,NA
Ji'an,23.95,121.5722,Taiwan,2,NA
Jimenez,27.13,-104.9067,Mexico,3,NA
Jimenez,8.3333,123.8333,Philippines,3,NA
Jimenez,10.1797,-83.7382,Costa Rica,3,NA
Jincheng,35.4906,112.8483,China,2,NA
Jincheng,24.4167,118.3167,Taiwan,2,NA
Jitpur,27.6666,85.3333,Nepal,2,NA
Jitpur,26.8149,84.9578,India,2,NA
Junin,-34.5833,-60.95,Argentina,3,NA
Junin,-11.15,-75.9833,Peru,3,NA
Junin,4.7903,-73.8136,Colombia,3,NA
Kadoma,34.7333,135.5833,Japan,2,NA
Kadoma,-18.34,29.9,Zimbabwe,2,NA
Kandi,11.1286,2.9369,Benin,2,NA
Kandi,23.9595,88.0402,India,2,NA
Kasama,-10.2117,31.1783,Zambia,2,NA
Kasama,36.3452,140.3043,Japan,2,NA
Kathu,7.9112,98.3475,Thailand,2,NA
Kathu,-27.7,23.05,South Africa,2,NA
Kawara,33.668,130.8473,Japan,2,NA
Kawara,14.0706,5.6715,Niger,2,NA
Kayes,14.45,-11.4167,Mali,2,NA
Kayes,-4.1681,13.2939,Congo (Brazzaville),2,NA
Kazo,36.1314,139.6018,Japan,2,NA
Kazo,-0.0528,30.7569,Uganda,2,NA
Kelso,46.1236,-122.8909,United States,2,1
Kelso,-33.4186,149.6056,Australia,2,1
Kensington,51.5,-0.19,United Kingdom,2,1
Kensington,41.6284,-72.7686,United States,2,1
Kerman,30.2833,57.0833,Iran,2,1
Kerman,36.7248,-120.0625,United States,2,1
Kettering,52.3931,-0.7229,United Kingdom,2,1
Kettering,39.6956,-84.1494,United States,2,1
Khanpur,28.6453,70.6567,Pakistan,2,NA
Khanpur,25.8572,85.933,India,2,NA
Kingston,17.9714,-76.7931,Jamaica,4,1
Kingston,-29.0569,167.9617,Norfolk Island,4,1
Kingston,41.2652,-75.8876,United States,4,1
Kingston,-42.9769,147.3083,Australia,4,1
Kingsville,27.5094,-97.861,United States,2,1
Kingsville,42.1,-82.7167,Canada,2,1
Kirkland,45.45,-73.8667,Canada,2,1
Kirkland,47.697,-122.2057,United States,2,1
Kirovsk,48.6333,38.65,Ukraine,2,NA
Kirovsk,67.6167,33.65,Russia,2,NA
Kochi,9.97,76.28,India,2,NA
Kochi,33.5589,133.5314,Japan,2,NA
Kola,22.43,87.87,India,2,NA
Kola,68.8833,33.0833,Russia,2,NA
Korba,22.35,82.68,India,2,NA
Korba,36.5667,10.8667,Tunisia,2,NA
Kota,25.18,75.83,India,2,NA
Kota,34.8645,137.1658,Japan,2,NA
Krasnyy Yar,46.5331,48.3456,Russia,2,NA
Krasnyy Yar,53.3239,69.2525,Kazakhstan,2,NA
Kratovo,42.0783,22.175,Macedonia,2,NA
Kratovo,55.5911,38.1803,Russia,2,NA
Krizevci,46.5631,16.1399,Slovenia,2,NA
Krizevci,46.0258,16.5425,Croatia,2,NA
Kulu,31.96,77.1,India,2,NA
Kulu,39.0892,33.0806,Turkey,2,NA
Kumi,36.1195,128.3444,South Korea,2,NA
Kumi,1.4608,33.9361,Uganda,2,NA
Kushk,33.2956,61.9522,Afghanistan,2,NA
Kushk,32.6428,51.5,Iran,2,NA
La Calera,-32.7867,-71.1972,Chile,3,NA
La Calera,-31.3439,-64.3353,Argentina,3,NA
La Calera,4.7531,-73.92,Colombia,3,NA
La Carlota,10.4167,122.9167,Philippines,3,NA
La Carlota,37.6667,-4.9333,Spain,3,NA
La Carlota,-33.4333,-63.3,Argentina,3,NA
La Cruz,23.9214,-106.8919,Mexico,4,NA
La Cruz,-32.8281,-71.1761,Chile,4,NA
La Cruz,1.6047,-76.9742,Colombia,4,NA
La Cruz,11.0845,-85.6436,Costa Rica,4,NA
La Esperanza,14.3,-88.1833,Honduras,3,NA
La Esperanza,14.8719,-91.5619,Guatemala,3,NA
La Esperanza,7.6392,-73.3358,Colombia,3,NA
La Florida,-33.5333,-70.5833,Chile,2,NA
La Florida,1.3017,-77.4106,Colombia,2,NA
La Huerta,14.4972,120.9953,Philippines,2,NA
La Huerta,19.4833,-104.65,Mexico,2,NA
La Libertad,-2.2333,-80.9,Ecuador,5,NA
La Libertad,15.5,-91.8333,Guatemala,5,NA
La Libertad,10.0333,123.2167,Philippines,5,NA
La Libertad,13.4833,-89.3167,El Salvador,5,NA
La Libertad,12.2156,-85.1647,Nicaragua,5,NA
La Mesa,32.7703,-117.0204,United States,2,1
La Mesa,4.6303,-74.4625,Colombia,2,1
La Palma,33.8504,-118.0407,United States,5,1
