loc,country,lat,lon
Abbeville,United States,29.9751,-92.1265
Aberdeen,United States,45.4649,-98.4686
Acton,United States,42.4843,-71.4378
Ada,United States,34.7662,-96.6681
Alamo,United States,26.181,-98.1177
Albany,United States,42.6664,-73.7987
Albertville,United States,34.2633,-86.2108
Alexandria,Brazil,-6.4128,-38.0158
Alexandria,Egypt,31.1975,29.8925
Alexandria,Romania,43.9686,25.3333
Alexandria,United States,38.8185,-77.0861
Allen,United States,33.1088,-96.6735
Alma,United States,43.3799,-84.6556
Alton,United States,38.9037,-90.152
Amelia,Italy,42.55,12.4167
Amelia,United States,39.0269,-84.2218
Ames,United States,42.0256,-93.6217
Amesbury,United States,42.853,-70.9446
Amherst,United States,43.0117,-78.757
Amsterdam,United States,42.942,-74.1906
Andover,United States,42.6466,-71.1651
Antrim,United States,39.7862,-77.7221
Appleton,United States,44.278,-88.3892
Arnold,United States,39.0437,-76.4974
Athens,Greece,37.9842,23.7281
Athens,United States,33.9508,-83.3689
Augusta,Italy,37.25,15.2167
Augusta,United States,33.3645,-82.0708
Aurora,United States,39.7083,-104.7237
Avon,United States,41.4485,-82.0187
Bangor,United States,44.8323,-68.7906
Barberton,South Africa,-25.7861,31.0531
Barberton,United States,41.0095,-81.6037
Bath,United States,42.3219,-77.3083
Bayonne,United States,40.6668,-74.1158
Beaumont,United States,30.0849,-94.1451
Bedford,United States,32.8464,-97.135
Bel Air,Mauritius,-20.2582,57.7545
Bel Air,United States,39.5348,-76.346
Belgrade,Serbia,44.82,20.46
Bella Vista,United States,36.4667,-94.2707
Belleville,United States,40.795,-74.1617
Bellevue,France,48.871,2.385
Bellevue,United States,47.5951,-122.1535
Berlin,Germany,52.52,13.405
Bethlehem,United States,40.6266,-75.3679
Birmingham,United Kingdom,52.48,-1.9025
Bogota,Colombia,4.7111,-74.0722
Bolivar,Colombia,1.9708,-76.9694
Borger,Netherlands,52.9236,6.7922
Borger,United States,35.6598,-101.4012
Boston,United States,42.3188,-71.0852
Bourne,United States,41.7233,-70.5816
Braintree,United States,42.2039,-71.0022
Brandon,United States,27.9367,-82.3
Brentwood,United States,40.7839,-73.2522
Bridgetown,Barbados,13.0975,-59.6167
Bridgetown,United States,39.1552,-84.6359
Bridgewater,United States,40.5934,-74.6076
Brighton,United Kingdom,50.8208,-0.1375
Bristol,United Kingdom,51.4536,-2.5975
Brockton,United States,42.0821,-71.0242
Buckingham,United Kingdom,51.995,-0.986
Burlington,United States,36.076,-79.4685
Cairo,Egypt,30.0444,31.2358
Camas,Spain,37.402,-6.0332
Camas,Turkey,40.9131,37.5169
Cambridge,United Kingdom,52.2053,0.1192
Cambridge,United States,42.3759,-71.1185
Carlisle,United Kingdom,54.891,-2.944
Carlisle,United States,40.2,-77.2034
Carthage,Tunisia,36.8528,10.3233
Carthage,United States,37.1503,-94.3225
Ceres,Argentina,-29.8667,-61.95
Ceres,Brazil,-15.3078,-49.5978
Ceres,United States,37.5952,-120.962
Cerritos,Mexico,22.4275,-100.2783
Cerritos,United States,33.8678,-118.0686
Chalco,Mexico,19.2647,-98.8975
Chantilly,France,49.1869,2.4608
Chaparral,Colombia,3.75,-75.5833
Chatham,Canada,42.4229,-82.1324
Chatham,United States,39.6733,-89.6934
Chelmsford,United Kingdom,51.73,0.48
Cheltenham,United Kingdom,51.9,-2.0667
Cheltenham,United States,40.0781,-75.1382
Chester,United States,39.8456,-75.3718
Chesterfield,United States,38.6589,-90.5803
Chino,Japan,35.9955,138.1588
Chino,United States,33.9836,-117.6654
Clayton,United Kingdom,53.782,-1.8135
Clayton,United States,38.6444,-90.3303
Clermont,United States,28.5325,-81.7208
Clifton,United States,40.863,-74.1575
Colchester,United States,44.5545,-73.2168
Colonia,United States,40.5926,-74.3148
Cornwall,United Kingdom,45.0275,-74.74
Coventry,United States,41.6934,-71.6611
Croydon,United States,40.0911,-74.8975
Damascus,Syria,33.5131,36.2919
Darien,Colombia,3.9167,-76.6667
Delhi,India,28.61,77.23
Denton,United Kingdom,53.4554,-2.1122
Denton,United States,33.2175,-97.1418
Derby,United Kingdom,52.9217,-1.4767
Derby,United States,39.84,-104.9172
Derry,United Kingdom,54.9917,-7.3417
Derry,United States,42.8888,-71.2804
Douglas,Ireland,51.8764,-8.4358
Douglas,United States,31.3602,-109.5394
Dover,United Kingdom,51.1295,1.3089
Dover,United States,39.161,-75.5202
Dublin,Ireland,53.35,-6.2603
Dublin,United States,37.7161,-121.8963
Dudley,United Kingdom,52.508,-2.089
Dudley,United States,42.055,-71.9352
Dumont,United States,40.9452,-73.9923
Dunedin,New Zealand,-45.8742,170.5036
Dunedin,United States,28.0329,-82.7862
Durango,Mexico,24.025,-104.6675
Durango,United States,37.2659,-107.8781
Durham,United Kingdom,54.7761,-1.5733
Durham,United States,35.9792,-78.9022
El Cerrito,Colombia,3.6667,-76.1667
El Cerrito,United States,37.9196,-122.3025
El Dorado,Mexico,24.3228,-107.363
El Dorado,United States,33.2184,-92.664
El Dorado,Venezuela,6.7167,-61.6167
El Monte,Chile,-33.6833,-71.0167
El Monte,United States,34.0739,-118.0291
El Paso,Colombia,9.6622,-73.7519
El Paso,United States,31.8476,-106.43
Elgin,United Kingdom,57.65,-3.315
Elgin,United States,42.0383,-88.324
Enfield,United Kingdom,51.6522,-0.0808
Enfield,United States,41.9839,-72.5548
Ennis,Ireland,52.8463,-8.9807
Ennis,United States,32.3254,-96.6347
Essex,Canada,42.0833,-82.9
Essex,United States,39.3021,-76.4449
Evesham,United States,39.8605,-74.8947
Exeter,United Kingdom,50.7256,-3.5269
Exeter,United States,40.3139,-75.834
Falmouth,Jamaica,18.49,-77.661
Falmouth,United Kingdom,50.15,-5.07
Falmouth,United States,41.5913,-70.5912
Fenton,United Kingdom,52.9977,-2.1578
Fenton,United States,42.7994,-83.7144
Flint,United States,43.0236,-83.6921
Florence,Italy,43.7714,11.2542
Florence,United States,34.178,-79.7898
Fontana,Malta,36.0364,14.2422
Fontana,United States,34.0968,-117.4599
Forest,Belgium,50.8131,4.3247
Forest,United States,37.3728,-79.2831
Fortuna,Brazil,-5.7328,-44.1578
Fortuna,Costa Rica,10.4483,-84.6421
Fortuna,Spain,38.1789,-1.1233
Fortuna,United States,40.5862,-124.1419
Frankfort,South Africa,-27.2833,28.5167
Frankfort,United States,38.1924,-84.8643
Fredonia,Colombia,5.9167,-75.6667
Fredonia,United States,42.4407,-79.3319
Freeport,Trinidad and Tobago,10.45,-61.4167
Freetown,Sierra Leone,8.4844,-13.2344
Fresno,Colombia,5.1556,-75.0403
Fresno,United States,36.783,-119.7939
Geneva,Switzerland,46.2017,6.1469
Georgetown,Australia,-18.3,143.55
Georgetown,Guyana,6.8058,-58.1508
Georgetown,United States,30.666,-97.6966
Gladstone,Australia,-23.8427,151.2555
Gladstone,United States,39.2134,-94.5592
Glasgow,United Kingdom,55.8611,-4.25
Glastonbury,United Kingdom,51.1485,-2.714
Glencoe,New Zealand,-46.1833,168.6833
Glencoe,South Africa,-28.1833,30.15
Glencoe,United States,42.1347,-87.7641
Gloucester,United Kingdom,51.8644,-2.2444
Gloucester,United States,39.7924,-75.0363
Grafton,Australia,-29.6833,152.9333
Grafton,United States,42.2085,-71.6838
Granby,Canada,45.4,-72.7333
Granby,United States,41.9694,-72.8346
Greenville,Liberia,5.0167,-9.0333
Greenville,United States,34.8354,-82.3646
Griffith,Australia,-34.29,146.04
Griffith,United States,41.5277,-87.4239
Hamburg,Germany,53.55,10
Hamburg,United States,42.7394,-78.8581
Hampton,United Kingdom,51.422,-0.367
Hampton,United States,37.0551,-76.363
Hanover,Canada,49.4433,-96.8492
Hanover,United States,39.8118,-76.9836
Harlingen,Netherlands,53.1736,5.4272
Harlingen,United States,26.1916,-97.6977
Harwich,United Kingdom,51.934,1.266
Harwich,United States,41.6957,-70.0684
Hastings,United Kingdom,50.85,0.57
Hastings,United States,40.5961,-98.39
Hatfield,United Kingdom,51.7636,-0.2258
Hatfield,United States,40.2758,-75.2895
Haverhill,United States,42.7838,-71.0871
Hebron,United States,41.6593,-72.3905
Henderson,United States,36.0133,-115.0381
Hereford,United Kingdom,52.056,-2.716
Hereford,United States,34.8225,-102.4001
Hernando,United States,34.85,-89.9921
Hobart,United States,41.514,-87.2729
Hoboken,Belgium,51.1667,4.3667
Hoboken,United States,40.7452,-74.0281
Horsham,Australia,-36.7167,142.2
Horsham,United Kingdom,51.062,-0.325
Horsham,United States,40.1993,-75.1665
Huntsville,Canada,45.3333,-79.2167
Huntsville,United States,34.6981,-86.6412
Ipswich,Australia,-27.6167,152.7667
Ipswich,United Kingdom,52.0594,1.1556
Ipswich,United States,42.6857,-70.8399
Irvine,United States,33.6772,-117.7738
Jamestown,United States,42.0976,-79.2367
Kelso,Australia,-33.4186,149.6056
Kelso,United States,46.1236,-122.8909
Kensington,United Kingdom,51.5,-0.19
Kensington,United States,41.6284,-72.7686
Kerman,Iran,30.2833,57.0833
Kerman,United States,36.7248,-120.0625
Kettering,United Kingdom,52.3931,-0.7229
Kettering,United States,39.6956,-84.1494
Kingston,Jamaica,17.9714,-76.7931
Kirkland,Canada,45.45,-73.8667
Kirkland,United States,47.697,-122.2057
La Mesa,Colombia,4.6303,-74.4625
La Mesa,United States,32.7703,-117.0204
La Palma,Colombia,5.3606,-74.3897
La Palma,Cuba,22.7472,-83.5525
La Palma,El Salvador,14.3167,-89.1667
La Palma,Panama,8.41,-78.15
La Plata,Argentina,-34.9211,-57.9544
Lancaster,United Kingdom,54.0489,-2.8014
Laredo,United States,27.5625,-99.4874
LaSalle,United States,41.3589,-89.0737
Laurel,Philippines,14.05,120.9
Laurel,United States,39.0949,-76.8622
Leeds,United Kingdom,53.8003,-1.5497
Leicester,United Kingdom,52.6344,-1.1319
Leominster,United Kingdom,52.2282,-2.7385
Leominster,United States,42.5209,-71.7717
Lima,Peru,-12.06,-77.0375
Limerick,United States,40.2323,-75.5344
Lincoln,Canada,43.13,-79.43
Lincoln,United Kingdom,53.2283,-0.5389
Lincoln,United States,40.8099,-96.6784
Linden,Guyana,6,-58.3
Linden,United States,40.6251,-74.2383
Lisbon,Portugal,38.7253,-9.15
Livingston,United States,40.7855,-74.3291
Lodi,Italy,45.3167,9.5
Lodi,United States,40.8784,-74.0814
London,United Kingdom,51.5072,-0.1275
London,United States,39.8935,-83.4375
Los Alamos,Chile,-37.6272,-73.4619
Los Alamos,United States,35.8927,-106.2862
Los Angeles,United States,34.1141,-118.4068
Los Banos,Philippines,14.1667,121.2167
Macon,France,46.3063,4.8313
Macon,United States,32.8065,-83.6974
Madera,Mexico,29.19,-108.1414
Madera,United States,36.963,-120.0778
Maitland,Australia,-32.7167,151.55
Maitland,United States,28.6295,-81.3718
Maltby,United Kingdom,53.426,-1.21
Maltby,United States,47.8027,-122.1044
Manchester,United Kingdom,53.4794,-2.2453
Mandeville,Jamaica,18.0333,-77.5
Mansfield,United Kingdom,53.1444,-1.1964
Mansfield,United States,40.7656,-82.5275
Mantua,Cuba,22.2908,-84.2875
Mapleton,Canada,43.7358,-80.6681
Mapleton,United States,40.1188,-111.5742
Margate,South Africa,-30.85,30.3667
Margate,United Kingdom,51.385,1.3838
Margate,United States,26.2466,-80.2119
Markham,Canada,43.8767,-79.2633
Markham,United States,41.6,-87.6904
Marple,United Kingdom,53.397,-2.061
Marple,United States,39.9654,-75.3657
Medina,Brazil,-16.2228,-41.4769
Medina,Colombia,4.5092,-73.3494
Medina,Philippines,8.9167,125.0167
Medina,Saudi Arabia,24.47,39.61
Melbourne,Australia,-37.8142,144.9631
Melbourne,United States,28.1086,-80.6627
Mercedes,Argentina,-34.65,-59.4333
Mercedes,Philippines,14.1093,123.0109
Mercedes,United States,26.1533,-97.9128
Mercedes,Uruguay,-33.25,-58.0333
Middleton,United Kingdom,53.555,-2.187
Middleton,United States,43.1064,-89.5059
Midland,Canada,44.75,-79.8833
Midland,United States,32.0243,-102.1147
Milton,Canada,43.5083,-79.8833
Milton,United Kingdom,53.05,-2.142
Milton,United States,34.1353,-84.3139
Minden,Germany,52.2883,8.9167
Minden,United States,32.6187,-93.2762
Miramar,Argentina,-38.2667,-57.8333
Miramar,Mexico,22.3375,-97.8694
Miramar,United States,25.9773,-80.3351
Mission,Canada,49.1337,-122.3112
Mission,United States,26.2039,-98.3256
Monmouth,United Kingdom,51.81,-2.72
Monmouth,United States,44.8505,-123.2284
Monrovia,Liberia,6.3133,-10.8014
Monrovia,United States,34.165,-117.9921
Montrose,United Kingdom,56.708,-2.467
Montrose,United States,38.4689,-107.859
Moscow,Russia,55.7558,37.6178
Munster,Germany,51.9625,7.6256
Munster,United States,41.5468,-87.504
Naples,Italy,40.8333,14.25
New Brighton,United Kingdom,53.432,-3.049
New Brighton,United States,45.0658,-93.206
Newcastle,Australia,-32.9167,151.75
Newcastle,South Africa,-27.7464,29.9328
Newcastle,United Kingdom,54.98,-1.61
Newcastle,United States,47.5304,-122.1633
Newman,Australia,-23.3539,119.7319
Newman,United States,37.3156,-121.0212
Newport,United Kingdom,51.5886,-2.9978
Newport,United States,39.0856,-84.4868
Newton,Sierra Leone,8.3333,-13.0667
Newton,United States,42.3316,-71.2085
Newtown,United Kingdom,52.5132,-3.3141
Newtown,United States,41.3988,-73.2927
Niagara Falls,Canada,43.06,-79.1067
Nogales,Mexico,31.1833,-111
Nogales,United States,31.3624,-110.9336
Northampton,United Kingdom,52.2304,-0.8938
Northampton,United States,40.2104,-75.0014
Northfield,United Kingdom,52.408,-1.963
Northfield,United States,44.455,-93.1698
Norton,United Kingdom,54.589,-1.3157
Norton,United States,41.964,-71.1842
Norton,Zimbabwe,-17.8833,30.7
Norwich,Canada,42.9833,-80.6
Norwich,United Kingdom,52.6286,1.2928
Norwich,United States,41.5495,-72.0882
Oakville,Canada,43.45,-79.6833
Oakville,United States,38.4479,-90.3199
Orange,United States,33.8038,-117.8218
Ottawa,Canada,45.4247,-75.695
Oviedo,Spain,43.36,-5.845
Oxford,United Kingdom,51.7519,-1.2578
Pace,France,48.1478,-1.7739
Pace,United States,30.6188,-87.1667
Palatka,Russia,60.1,150.9
Palatka,United States,29.6493,-81.6705
Panama City,Panama,8.9833,-79.5167
Paradise,Canada,47.5333,-52.8667
Paradise,United States,36.0872,-115.1355
Paris,France,48.8567,2.3522
Parma,Italy,44.8015,10.328
Parma,Russia,65.923,57.403
Parma,United States,41.3843,-81.7286
Pelham,Canada,43.0333,-79.3333
Pelham,United States,40.9,-73.8063
Pemberton,United Kingdom,53.536,-2.6738
Pemberton,United States,39.9562,-74.6
Pembroke,Canada,45.8167,-77.1
Pembroke,Malta,35.9264,14.4808
Pembroke,United States,42.0655,-70.8014
Plainview,Philippines,14.5777,121.0337
Plainview,United States,40.7832,-73.4732
Plumstead,United Kingdom,51.49,0.09
Plumstead,United States,40.3878,-75.1164
Plymouth,United Kingdom,50.3714,-4.1422
Plymouth,United States,45.0225,-93.4617
Portland,Australia,-38.3333,141.6
Portland,United States,45.5371,-122.65
Portsmouth,United Kingdom,50.8058,-1.0872
Portsmouth,United States,43.058,-70.7826
Potsdam,Germany,52.4,13.0667
Punta Gorda,Belize,16.1005,-88.8074
Punta Gorda,United States,26.8941,-82.0513
Queens,United States,40.7498,-73.7976
Queensbury,United Kingdom,53.7683,-1.8453
Queensbury,United States,43.3568,-73.6765
Ravenna,Italy,44.4161,12.2017
Ravenna,United States,41.1612,-81.2422
Reading,United Kingdom,51.4542,-0.9731
Reading,United States,40.34,-75.9267
Rehoboth,Namibia,-23.3167,17.0833
Rehoboth,United States,41.8439,-71.2456
Richmond,Australia,-33.5983,150.7511
Richmond,Canada,49.1667,-123.1333
Richmond,New Zealand,-41.3333,173.1833
Richmond,United Kingdom,51.456,-0.301
Richmond,United States,37.5295,-77.4756
Richmond Hill,Canada,43.8667,-79.4333
Richmond Hill,United States,31.9012,-81.3125
Ripon,United Kingdom,54.138,-1.524
Ripon,United States,37.7417,-121.131
Riverview,Canada,46.0613,-64.8052
Riverview,United States,27.8227,-82.3023
Rochester,United Kingdom,51.375,0.5
Rochester,United States,43.168,-77.6162
Rodeo,Argentina,-30.2164,-69.1394
Rodeo,United States,38.0367,-122.2526
Rolla,India,13.8331,77.1
Rolla,United States,37.9459,-91.7607
Rome,Italy,41.8931,12.4828
Rotterdam,Netherlands,51.9167,4.5
Rotterdam,United States,42.8133,-74.0129
Rutherford,Australia,-32.715,151.5317
Rutherford,United States,40.8203,-74.1057
Rye,United Kingdom,50.95,0.73
Rye,United States,41.0075,-73.6872
Sacramento,United States,38.5677,-121.4685
Salem,United States,44.9233,-123.0244
Salinas,Brazil,-16.1185,-42.174
Salinas,Ecuador,-2.2167,-80.9501
Salinas,United States,36.6883,-121.6317
Salinas,Uruguay,-34.7833,-55.8333
Salisbury,United Kingdom,51.07,-1.79
Salisbury,United States,38.3756,-75.5865
Salt Lake City,United States,40.7776,-111.9311
San Antonio,Chile,-33.5933,-71.6217
San Antonio,United States,29.4632,-98.5238
San Bernardino,United States,34.1416,-117.2943
San Buenaventura,Mexico,27.0625,-101.5467
San Buenaventura,United States,34.2741,-119.2314
San Carlos,Bolivia,-17.4044,-63.7325
San Carlos,Colombia,8.8006,-75.7022
San Carlos,Nicaragua,11.1236,-84.778
San Carlos,Philippines,10.4929,123.4095
San Carlos,United States,37.4982,-122.2677
San Carlos,Uruguay,-34.8,-54.9167
San Carlos,Venezuela,9.65,-68.5833
San Clemente,Chile,-35.55,-71.4833
San Clemente,Philippines,15.7119,120.3603
San Clemente,United States,33.4499,-117.6102
San Diego,Colombia,10.3375,-73.1825
San Diego,United States,32.8313,-117.1222
San Diego,Venezuela,10.2558,-67.9539
San Fernando,Chile,-34.5833,-70.9833
San Fernando,Colombia,9.2797,-74.5339
San Fernando,Mexico,24.8504,-98.16
San Fernando,Nicaragua,13.6767,-86.3144
San Fernando,Philippines,15.0333,120.6833
San Fernando,Spain,36.4667,-6.2
San Fernando,Trinidad and Tobago,10.2833,-61.4667
San Fernando,United States,34.2886,-118.4362
San Fernando,Venezuela,7.894,-67.473
San Francisco,United States,37.7558,-122.4449
San Gabriel,Ecuador,0.5983,-77.8353
San Gabriel,Philippines,16.6667,120.4
San Gabriel,United States,34.0949,-118.099
San Jacinto,Colombia,9.8311,-75.1219
San Jacinto,Guatemala,14.6667,-89.5
San Jacinto,Philippines,16.0725,120.4411
San Jacinto,United States,33.797,-116.9916
San Jose,Costa Rica,9.9325,-84.08
San Jose,United States,37.3012,-121.848
San Juan,Argentina,-31.5342,-68.5261
San Juan,Dominican Republic,18.81,-71.23
San Juan,Puerto Rico,18.3985,-66.061
San Juan,Trinidad and Tobago,10.65,-61.45
San Juan,United States,26.1903,-98.152
San Lorenzo,Argentina,-28.12,-58.77
San Lorenzo,Bolivia,-21.4167,-64.7494
San Lorenzo,Colombia,1.5039,-77.2178
San Lorenzo,El Salvador,14.0333,-89.7833
San Lorenzo,Honduras,13.4217,-87.4469
San Lorenzo,Nicaragua,12.3783,-85.6661
San Lorenzo,Paraguay,-25.34,-57.52
San Lorenzo,Puerto Rico,18.1875,-65.968
San Luis,Argentina,-33.3,-66.3333
San Luis,Cuba,20.1881,-75.8486
San Luis,Dominican Republic,18.55,-69.7
San Luis,Guatemala,16.2,-89.44
San Luis,Philippines,15.04,120.7919
San Luis,United States,32.4911,-114.7089
San Marcos,Colombia,8.6611,-75.1347
San Marcos,Costa Rica,10.6204,-84.512
San Marcos,Guatemala,14.9653,-91.7958
San Marcos,Honduras,14.4,-88.95
San Marcos,Nicaragua,11.9081,-86.2025
San Marino,San Marino,43.9346,12.4473
San Marino,United States,34.1224,-118.1132
San Mateo,Philippines,14.6969,121.1219
San Mateo,Venezuela,9.74,-64.5531
San Pablo,Chile,-40.4,-73.0167
San Pablo,Colombia,7.4825,-73.925
San Pablo,Costa Rica,9.9918,-84.0937
San Pablo,Philippines,14.07,121.325
San Rafael,Argentina,-34.6,-68.3333
San Rafael,Bolivia,-16.7795,-60.6799
San Rafael,Colombia,6.2975,-75.0314
San Rafael,Costa Rica,10.0417,-84.075
San Rafael,Honduras,14.7333,-88.4167
